# Constructed from biom file
#OTU ID	ERR1513684	ERR1513701	ERR1513703	ERR1513777	ERR1513870	ERR1513889	ERR1513961	ERR1513964	ERR1513983	ERR1514003
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Peptococcus	0.0	2.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales;g__Gemmiger	11.0	0.0	0.0	110.0	150.0	55.0	147.0	224.0	12.0	55.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;__;__	39.0	21.0	44.0	1816.0	595.0	177.0	82.0	1418.0	236.0	24.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruthenibacterium	0.0	15.0	51.0	0.0	0.0	21.0	9.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium	852.0	0.0	186.0	2485.0	4000.0	1000.0	1025.0	1113.0	344.0	698.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;__	38.0	325.0	113.0	1404.0	406.0	90.0	350.0	943.0	281.0	92.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;__	28.0	225.0	17.0	1665.0	625.0	182.0	81.0	807.0	176.0	32.0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia	0.0	0.0	0.0	0.0	2.0	0.0	29.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerofilum	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Fournierella	0.0	17.0	528.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0
k__Bacteria;__;__;__;__;__	2.0	5.0	53.0	899.0	50.0	5.0	29.0	97.0	36.0	7.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Cyanobacteria;__;__;__	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	4.0	7.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	277.0	0.0	0.0	0.0	0.0	0.0	0.0	1645.0	423.0	960.0
